paper_id,title,abstract,year,venue,citation_count,doi,pmid,arxiv_id,publication_types,publication_date,url,fields_of_study,fields_of_study_provenance,authors,query_ids,query_axes,retrieval_channels,keep,scope_reasons,direct_scope_hits,resolution_hits,network_hits,qc_hits,infrastructure_hits,health_hits,people_development_hits,macroscale_hits,corpus_in_degree,corpus_out_degree,pagerank,pagerank_percentile,k_core,component,age_normalized_citation_signal,age_normalized_citation_percentile,lexical_axis_count,evidence_score,tier,direct_seed_links,bibliographic_coupling_support,cocitation_support,direct_nanoscale_view,macroscale_flag,health_flag,training_outreach_flag,provenance_term_connectome,provenance_term_wiring_diagram,provenance_term_synaptic_graph,provenance_term_connectome_constrained,provenance_term_graph_query,specific_connectome_analysis,direct_resolution_refs_cited,inherited_connectome_provenance,derived_nanoscale_core,high_priority_nanoscale_core,direct_core_graph_links,graph_supported_adjacent_view,cleanup_bucket
0506a27b573c83cfea9223835c2190b455ce66b6,Cellular-resolution connectomics: challenges of dense neural circuit reconstruction,,2013.0,Nature Methods,305,10.1038/nmeth.2476,23722209.0,,Review;JournalArticle,2013-05-30,https://www.semanticscholar.org/paper/0506a27b573c83cfea9223835c2190b455ce66b6,Medicine;Biology;Computer Science,Medicine|external;Biology|external;Computer Science|s2-fos-model;Biology|s2-fos-model,M. Helmstaedter,acq_01,acquisition_preparation,1hop_citations;1hop_references;lexical,True,review_scope,connectom;neural circuit reconstruction,,,,,,,,70,1,0.0084002332278948,0.9978762941332624,11,1,1.5296924625392434,0.8351473320945049,1,3.999314219980533,core_candidate,39.0,1.0,304.0,False,False,False,False,True,False,False,False,False,True,1,False,False,False,57,True,graph_supported_adjacent
203d7329be92494f795038f7c43a0442e8a76f3a,The Human Connectome: A Structural Description of the Human Brain,"ABSTRACT The connection matrix of the human brain (the human “connectome”) represents an indispensable foundation for basic and applied neurobiological research. However, the network of anatomical connections linking the neuronal elements of the human brain is still largely unknown. While some databases or collations of large-scale anatomical connection patterns exist for other mammalian species, there is currently no connection matrix of the human brain, nor is there a coordinated research effort to collect, archive, and disseminate this important information. We propose a research strategy to achieve this goal, and discuss its potential impact.",2005.0,PLoS Comput. Biol.,3307,10.1371/journal.pcbi.0010042,16201007.0,,Review;JournalArticle,2005-09-01,https://www.semanticscholar.org/paper/203d7329be92494f795038f7c43a0442e8a76f3a,Biology,Biology|s2-fos-model,O. Sporns; G. Tononi; R. Kötter,,,1hop_references,True,review_scope,connectom,,,,database,human brain,,,51,0,0.007006801554922,0.9973453676665782,10,1,1.727799724186638,0.9073533315635784,0,2.951685691531723,supported,52.0,0.0,39.0,False,False,True,False,True,False,False,False,False,True,0,False,False,False,39,True,graph_supported_adjacent
cc2b790265c30d6f7d31ebff3009d298236f66da,Ome sweet ome: what can the genome tell us about the connectome?,,2008.0,Current Opinion in Neurobiology,203,10.1016/j.conb.2008.08.010,18801435.0,,Review;JournalArticle,2008-06-01,https://www.semanticscholar.org/paper/cc2b790265c30d6f7d31ebff3009d298236f66da,Medicine;Psychology;Biology,Medicine|external;Psychology|external;Biology|s2-fos-model,J. Lichtman; J. Sanes,sf_03,structure_function,1hop_references;lexical,True,review_scope,connectom,,,,,,,,48,0,0.0078832658523156,0.9976108308999204,11,1,1.2200604011994782,0.6333952747544465,1,3.148239093885497,core_candidate,20.0,0.0,203.0,False,False,False,False,True,False,False,False,False,True,0,False,False,False,30,True,graph_supported_adjacent
1fcdad6690b9cbfc3b131d108eed0d7746ed0bb1,Generative models of the human connectome,"The human connectome represents a network map of the brain's wiring diagram and the pattern into which its connections are organized is thought to play an important role in cognitive function. The generative rules that shape the topology of the human connectome remain incompletely understood. Earlier work in model organisms has suggested that wiring rules based on geometric relationships (distance) can account for many but likely not all topological features. Here we systematically explore a family of generative models of the human connectome that yield synthetic networks designed according to different wiring rules combining geometric and a broad range of topological factors. We find that a combination of geometric constraints with a homophilic attachment mechanism can create synthetic networks that closely match many topological characteristics of individual human connectomes, including features that were not included in the optimization of the generative model itself. We use these models to investigate a lifespan dataset and show that, with age, the model parameters undergo progressive changes, suggesting a rebalancing of the generative factors underlying the connectome across the lifespan.",2015.0,NeuroImage,302,10.1016/j.neuroimage.2015.09.041,26427642.0,1506.06795,JournalArticle,2015-06-22,https://www.semanticscholar.org/paper/1fcdad6690b9cbfc3b131d108eed0d7746ed0bb1,Psychology;Computer Science;Medicine;Biology,Psychology|external;Computer Science|external;Medicine|external;Biology|external;Computer Science|s2-fos-model;Biology|s2-fos-model,Richard F. Betzel; Andrea Avena-Koenigsberger; J. Goñi; Ye He; M. A. Reus; A. Griffa; P. Vértes; B. Mišić; J. Thiran; P. Hagmann; M. P. Heuvel; X. Zuo; E. Bullmore; O. Sporns,net_09;sf_06,network_science;structure_function,1hop_citations;1hop_references;lexical,True,network_science_scope,connectom;wiring diagram,,wiring rule,,,,,,76,6,0.0058400409011505,0.9960180514998672,8,1,1.6494125866692149,0.8826652508627555,2,4.355012830722945,core_candidate,17.0,72.0,302.0,False,False,False,False,True,True,False,False,False,True,0,False,False,False,14,True,graph_supported_adjacent
a20cd217b0d23dca911945cbfca1a67d4c09ec66,A technicolour approach to the connectome,,2008.0,Nature Reviews Neuroscience,335,10.1038/nrn2391,18446160.0,,Review;JournalArticle,2008-04-30,https://www.semanticscholar.org/paper/a20cd217b0d23dca911945cbfca1a67d4c09ec66,Biology,Biology|s2-fos-model,J. Lichtman; J. Livet; J. Sanes,,,1hop_references,True,review_scope,connectom,,,,,,,,13,0,0.0020282369820446,0.9846031324661534,6,1,1.334536825769593,0.7199362888239978,0,2.848420493761614,supported,15.0,0.0,8.0,False,False,False,False,True,False,False,False,False,True,0,False,False,False,12,True,graph_supported_adjacent
7072ef929fa3d7c3177ca868309523c588a67bd1,The WU-Minn Human Connectome Project: An Overview,"The Human Connectome Project consortium led by Washington University, University of Minnesota, and Oxford University is undertaking a systematic effort to map macroscopic human brain circuits and their relationship to behavior in a large population of healthy adults. This overview article focuses on progress made during the first half of the 5-year project in refining the methods for data acquisition and analysis. Preliminary analyses based on a finalized set of acquisition and preprocessing protocols demonstrate the exceptionally high quality of the data from each modality. The first quarterly release of imaging and behavioral data via the ConnectomeDB database demonstrates the commitment to making HCP datasets freely accessible. Altogether, the progress to date provides grounds for optimism that the HCP datasets and associated methods and software will become increasingly valuable resources for characterizing human brain connectivity and function, their relationship to behavior, and their heritability and genetic underpinnings.",2013.0,NeuroImage,5950,10.1016/j.neuroimage.2013.05.041,23684880.0,,Review;JournalArticle,2013-05-16,https://www.semanticscholar.org/paper/7072ef929fa3d7c3177ca868309523c588a67bd1,Medicine,Medicine|s2-fos-model,D. C. Essen; Stephen M. Smith; D. Barch; Timothy Edward John Behrens; E. Yacoub; K. Uğurbil,,,1hop_references,True,review_scope,connectom,,,,database,human brain,,human connectome project,27,0,0.0053725445674397,0.9952216617998408,7,1,2.322851520924129,0.9880541544996018,0,2.9904433235996812,supported,27.0,0.0,16.0,False,True,True,False,True,False,False,False,False,True,0,False,False,False,10,True,graph_supported_adjacent
2865fc9ecc2781b09e630de3016836d059cc8412,From the Connectome to the Synaptome: An Epic Love Story,,2010.0,Science,171,10.1126/science.1193378,21109663.0,,Review;JournalArticle,2010-11-26,https://www.semanticscholar.org/paper/2865fc9ecc2781b09e630de3016836d059cc8412,Biology,Biology|s2-fos-model,J. DeFelipe,,,1hop_references,True,review_scope,connectom,,,,,,,,9,0,0.0004872103417198,0.9394743827979825,5,1,1.2484507903050226,0.6543668701884789,0,2.7817892221927263,supported,9.0,0.0,7.0,False,False,False,False,True,False,False,False,False,True,0,False,False,False,9,True,graph_supported_adjacent
b87947e34aa05f24714d7e4d3135d5a951e17917,Comparative Connectomics.,"We introduce comparative connectomics, the quantitative study of cross-species commonalities and variations in brain network topology that aims to discover general principles of network architecture of nervous systems and the identification of species-specific features of brain connectivity. By comparing connectomes derived from simple to more advanced species, we identify two conserved themes of wiring: the tendency to organize network topology into communities that serve specialized functionality and the general drive to enable high topological integration by means of investment of neural resources in short communication paths, hubs, and rich clubs. Within the space of wiring possibilities that conform to these common principles, we argue that differences in connectome organization between closely related species support adaptations in cognition and behavior.",2016.0,Trends in Cognitive Sciences,290,10.1016/j.tics.2016.03.001,27026480.0,,Review;JournalArticle;Study,,https://www.semanticscholar.org/paper/b87947e34aa05f24714d7e4d3135d5a951e17917,Biology,Biology|s2-fos-model,M. P. van den heuvel; E. Bullmore; O. Sporns,,network_science,1hop_references,True,network_science_scope;review_scope,connectom,,network topology;rich club,,,,,,13,0,0.0005834703254613,0.9482346694982744,7,1,1.7105713265091878,0.9033713830634456,1,3.2461950269887616,core_candidate,13.0,0.0,13.0,False,False,False,False,True,False,False,False,False,True,0,False,False,False,7,True,graph_supported_adjacent
ee94504092bc3cd8ab5134c39e42e2e298cb2e8a,The human connectome: a complex network,,2011.0,Annals of the New York Academy of Sciences,1410,10.1111/j.1749-6632.2010.05888.x,21251014.0,,Review;JournalArticle,2011-04-01,https://www.semanticscholar.org/paper/ee94504092bc3cd8ab5134c39e42e2e298cb2e8a,Biology,Biology|s2-fos-model,O. Sporns,,,1hop_references,True,review_scope,connectom,,,,,,,,11,0,0.0004316600989912,0.9309795593310326,5,1,1.8130134879632032,0.9277940005309264,0,2.9121316697637374,supported,11.0,0.0,8.0,False,False,False,False,True,False,False,False,False,True,0,False,False,False,7,True,graph_supported_adjacent
b86ce88e604ab5981371e61c215d8b438d32fbec,Bridging the Gap between Connectome and Transcriptome.,"The recent construction of brain-wide gene expression atlases, which measure the transcriptional activity of thousands of genes in multiple anatomical locations, has made it possible to connect spatial variations in gene expression to distributed properties of connectome structure and function. These analyses have revealed that spatial patterning of gene expression and neuronal connectivity are closely linked, following broad spatial gradients that track regional variations in microcircuitry, inter-regional connectivity, and functional specialisation. Superimposed on these gradients are more specific associations between gene expression and connectome topology that appear conserved across diverse species and different resolution scales. These findings demonstrate the utility of brain-wide gene expression atlases for bridging the gap between molecular function and large-scale connectome organisation in health and disease.",2019.0,Trends in Cognitive Sciences,369,10.1016/j.tics.2018.10.005,30455082.0,,Review;JournalArticle,2019-01-01,https://www.semanticscholar.org/paper/b86ce88e604ab5981371e61c215d8b438d32fbec,Biology,Biology|s2-fos-model,A. Fornito; A. Arnatkevic̆iūtė; Ben D. Fulcher,,health_translation,1hop_citations;1hop_references,True,review_scope,connectom,,,,distributed,disease,,,6,5,0.0002318382456152,0.8723121847624105,7,1,2.0907390379269253,0.9692062649323068,1,3.9721706043712945,core_candidate,11.0,5.0,3.0,False,False,True,False,True,False,False,False,False,True,1,False,False,False,6,True,graph_supported_adjacent
